id,titel_datei,quelle,jahr,pre_post,zitat,modus,zweitkategorie_grenzfall,begruendung,nachvollziehbarkeit_rolle,beer_dimension_ziel,beer_dimension_ziel_begruendung
1,"NZZ Nr. 95 26.04.2021, S. 8, B. Bosshard.pdf",NZZ,2021,pre,"Klassische Juristen werden so vermehrt zu sogenannten Legal Engineers. Sie analysieren Daten, programmieren Roboter fuer den Gebrauch im juristischen Alltag, bauen Systeme um und optimieren ganze Arbeitsprozesse.",Creating,,"Neues Taetigkeitsfeld/Rolle *innerhalb* der Profession selbst (Jurist wird Legal Engineer) -- bleibt 'im eigenen Haus', daher Creating statt Negotiating.",,,
2,"NZZ Nr. 95 26.04.2021, S. 8, B. Bosshard.pdf",NZZ,2021,pre,"Dass Arbeitende im Rechtsbereich kuenftig komplett durch Roboter ersetzt werden, ist allerdings unwahrscheinlich. Gerade bei komplexen Fragestellungen ist eine persoenliche Betreuung immer noch unerlaesslich. Maschinen koennen schon viel. Aber Empathie koennen sie noch nicht.",Defending,,Explizite Grenzziehung: komplexe Faelle + Empathie bleiben beim Menschen.,kein_bezug,andere,"Empathie als Grenzziehungsgrund, keine Beer-Dimension einschlaegig"
3,"Anwaltsrevue 2024 S. 370, G. Münch.pdf",Anwaltsrevue,2024,post,KI wird Anwaeltinnen und Anwaelte nicht bald ueberfluessig machen. [...] Aber bei komplizierteren und unsicheren Angelegenheiten wird auf absehbare Zeit ein Mensch im Spiel sein muessen.,Defending,,Grenzziehung entlang Komplexitaet/Unsicherheit -- klassisches Defending-Muster.,kein_bezug,smart,Urteilsfaehigkeit bei komplizierten/unsicheren Angelegenheiten bleibt beim Menschen
4,"Anwaltsrevue 2024 S. 370, G. Münch.pdf",Anwaltsrevue,2024,post,"Ein allein arbeitender Roboterrichter wird in einfachen Faellen wie Verkehrsbussen eingesetzt werden. Aber bei komplexen Faellen werden Menschen die Urteile faellen, die von KI unterstuetzt werden.",Defending,,"Gleiches Muster wie oben, auf Richterebene uebertragen.",kein_bezug,smart,Urteilsfaellung bei komplexen Faellen bleibt beim Menschen (Richterebene)
5,"Anwaltsrevue 2024 S. 370, G. Münch.pdf",Anwaltsrevue,2024,post,"Eine Anwaltskanzlei, die den Sprung wagt, koennte Marktanteile gewinnen! [...] Anwaeltinnen und Anwaelte, die sich weigern, KI zu nutzen, koennten also in naher Zukunft Schwierigkeiten haben, Mandate zu bekommen.",Creating,Creating/Neutral,"Adoptionsdruck-Rhetorik, aber keiner der 4 Modi trifft sauber: keine neue Domaene, keine Organisationsumstrukturierung, keine Kooperation mit Aussenstehenden. Eher Markt-/Wettbewerbsrahmen als Boundary Work i.e.S. -- ggf. neutral. [Entscheid 03.08.2026: Creating, gestuetzt auf Bernhards Lesart -- AI-Adoption als neues wettbewerbsrelevantes Leistungsmerkmal, gedehnte aber naechstliegende Lesart von Creating.]",,,
6,"Anwaltsrevue 2024 S. 370, G. Münch.pdf",Anwaltsrevue,2024,post,"[Gesamter Text ist ein Interview mit Elliott Ash, ETH-Professor, nicht mit einer Anwaeltin/einem Anwalt]",Methodenfrage,,"Zaehlt Positionierung eines akademischen Experten im SAV-Publikationsorgan Anwaltsrevue als Positionierung 'der Profession'? Analog zu Beer: die redaktionelle Plattformwahl selbst ist schon ein Signal. Vorschlag: ja zaehlen lassen, aber im Methodenteil kurz reflektieren.",,,
7,inside-it_o.J._Waere-KI-der-gerechtere-Richter.pdf,inside-it.ch,2026,post,"Bei Strafverfahren sehe ich ethisch und verfassungsrechtlich die Anforderung, dass ein Mensch entscheidet. [...] Ich kann mir daher nicht vorstellen, dass in Strafverfahren Maschinen die Entscheidung treffen.",Defending,,"Starke, explizite Grenzziehung Strafverfahren = Mensch.",thematisiert,smart,Entscheidbefugnis in Strafverfahren bleibt beim Menschen (ethisch/verfassungsrechtlich)
8,inside-it_o.J._Waere-KI-der-gerechtere-Richter.pdf,inside-it.ch,2026,post,"Im Verwaltungsverfahren gibt uns Art. 29 Abs. 2 BV vor, dass ein Anspruch auf rechtliches Gehoer besteht. [...] gefordert [ist], dass ein Mensch das Vorbringen von Betroffenen hoert, prueft und dann entscheidet.",Defending,,"Verfassungsrechtlich begruendete Grenzziehung -- Ueberschneidung mit dem Braun-Binder-Fund (rechtliches Gehoer) aus der Nachvollziehbarkeits-Diskussion, evtl. dort querverweisen.",thematisiert,smart,"Art. 29 Abs. 2 BV: Mensch hoert/prueft/entscheidet -- normativ begruendet, Zielscheibe bleibt die Urteilsfunktion (s. 6.2)"
9,inside-it_o.J._Waere-KI-der-gerechtere-Richter.pdf,inside-it.ch,2026,post,"Sicherlich halte ich in standardisierten zivilrechtlichen Faellen den KI-Einsatz fuer moeglich, zum Beispiel bei Fluggastrechten oder der Berechnung von Mietzinserhoehungen. [...] duerfen auch die Gerichte selber technische Verfahren anwenden.",Defending,,"Kehrseite der Grenzziehung: Peripherie (einfache Massenverfahren) wird bewusst abgegeben, um den Kern (komplexe/Strafsachen) zu verteidigen -- interessantes Sub-Muster 'abgestuftes Defending statt Totalabwehr', erwaehnenswert in der Diskussion.",kein_bezug,smart,"Abstufung nach Urteilskomplexitaet: einfache Faelle an KI abgebbar, Kernurteil bleibt human"
10,upskilling mascello.pdf,unternehmensjurist,2025,post,Rechtsabteilungen werden dank KI einen Dreisprung vollziehen: [...] Insourcing [...] Fuer Anwaltskanzleien koennte es [...] zu einer Reduktion von Mandatsarbeit fuehren. [...] ob KI der letzte Sargnagel im Geschaeftsmodell der Stundenhonorare sein koennte.,Coalescing,Coalescing/Negotiating,"Verschiebt Zustaendigkeit/Machtverhaeltnis zwischen Rechtsabteilung (intern) und Kanzlei (extern) sowie das Abrechnungsmodell -- passt zum Coalescing-Mechanismus (Redefining boundary exclusions), auch wenn das Codierregeln-Beispiel eher unternehmensinterne Hierarchie meint. Erster echter Coalescing-Kandidat im ganzen Korpus (bisher 0 Treffer).",,,
