anbieter,sprache,id,zitat,dimension,zweitkategorie_grenzfall,begruendung
Contractus Intelligence,de,479,"Kuratierte, rollenspezifische KI-Prompts für Entwurf, Klauselverhandlung, Risiko-Zusammenfassungen und Legal-Q&A - in Sekunden.",schnell,,'In Sekunden' explizit.
Contractus Intelligence,de,509,Ein Cockpit für Ihr gesamtes Vertragswissen.,panoramisch,,'Cockpit' + 'gesamtes' -- umfassender Überblick (bereits in Validierungsstichprobe verwendet).
Contractus Intelligence,de,480,"KI-Benchmarks, Spend-Analysen und Lieferantenrisiken - [...] Maverick-Spend erkennen, Policy durchsetzen.",enthüllend,,Verborgene Ausgabenmuster/Risiken aufdecken (bereits in Validierungsstichprobe verwendet).
DeepJudge,en,1,"[...] transforms institutional knowledge into structured, governed intelligence that enables legal teams to build AI applications [...]",smart,,KI 'transformiert' Wissen -- Denkleistung/Verarbeitung im Zentrum.
DeepJudge,en,3,Your collective knowledge is your unique asset But it's scattered and inaccessible Search to uncover whether opposing counsel ever agreed to a point in a past negotiation.,enthüllend,,'Uncover' -- verborgene Informationen aufdecken.
DeepJudge,en,6,Search the way you think to unlock everything Empower your team with real insights in seconds not hours.,enthüllend,schnell,"'Insights' + 'unlock everything', zusätzlich 'seconds not hours' (schnell) als starker Nebenkandidat."
DeepJudge,en,7,"DeepJudge Knowledge Search indexes and understands your data, wherever it lives, providing seamless access to your knowledge from a single place.",panoramisch,zugänglich,"'Wherever it lives... single place' = umfassender Überblick (bereits in Validierungsstichprobe, dort vom Zero-Shot als 'zugaenglich' 0.97 falsch/kontrovers eingestuft -- guter Diskussionsfall)."
DeepLegal,de,46,"DeepLegal liefert fundierte, verlässlich belegte Antworten in Sekunden.",schnell,,'In Sekunden' explizit.
DeepLegal,de,50,KI-gestützte juristische Einblicke DeepLegal bietet [...] einen intuitiven Zugang zu verifizierten Schweizer Gesetzen und Gerichtsentscheiden.,zugänglich,enthüllend,"'Intuitiver Zugang', zusätzlich 'Einblicke' (enthüllend) als Nebenkandidat."
DeepLegal,de,55,Intelligente Funktionen für die Schweizer Rechtsrecherche.,smart,,'Intelligent' explizit.
DeepLegal,de,112,"Die KI analysiert Ihre Frage, durchsucht die relevanten Gesetzestexte und Gerichtsentscheide und liefert eine präzise Antwort mit vollständigen Quellenangaben.",smart,enthüllend,"KI übernimmt die analytische Arbeit (bereits in Validierungsstichprobe, dort Grenzfall smart/enthüllend)."
Elisa / legalis,de,883,"Antworten in Echtzeit Sofortige Antworten auf Ihre juristischen Fragen ohne Wartezeit, direkt im Dialog.",schnell,,"'Echtzeit', 'sofortige Antworten', 'ohne Wartezeit' -- mehrfach explizit."
Elisa / legalis,de,886,"elisa hilft Ihnen, schneller den Überblick zu gewinnen und relevante Quellen zu identifizieren.",schnell,panoramisch,"'Schneller', zusätzlich 'Überblick' (panoramisch) als Nebenkandidat."
ExNunc Intelligence,fr,337,Ce site est actuellement en construction.,neutral,,"Baustellen-/Platzhalterseite -- praktisch keine verwertbaren Marketinginhalte (Datenqualitätshinweis, s. Notizen)."
Herlock.ai,de,225,Legal AI Platform - Made in Switzerland [Team-/Kontaktseite mit Icons],neutral,,"Reine Team-/Kontaktseite ohne Envisioning-Sprache (Datenqualitätshinweis, s. Notizen)."
IPQuants,en,515,The only co-pilot with a purpose-built digital cockpit.,panoramisch,,"'Cockpit'-Metapher, umfassendes Steuerungsinstrument."
IPQuants,en,521,Qthena makes legal and strategy insights accessible for experts and novices alike.,zugänglich,enthüllend,"'Accessible for experts and novices alike' -- explizite Zugaenglichkeit, zusätzlich 'insights' (enthüllend)."
IPQuants,en,522,Exclusive Innovation Data: Qthena's proprietary patent and innovation insights tailored for strategists and innovators.,enthüllend,,"'Insights' -- proprietaere, sonst verborgene Daten."
Justement,de,143,"[Längeres KI-generiertes Rechtsgutachten-Beispiel als Live-Demo-Output, keine Marketingrhetorik]",neutral,,"Alle 29 Segmente sind ein einziges durchlaufendes Produktbeispiel (simulierte Rechtsauskunft), keine Envisioning-Sprache -- eigene Kategorie 'Produktbeispiel' statt gewöhnliches Marketing-Neutral (s. Notizen)."
Laine,en,369,"When the structured work is handled by the right AI legal platform, your team is free to spend time on what actually requires a lawyer.",zugänglich,,Strukturierte/automatisierte Arbeit macht Freiraum -- Zugaenglichkeits-Rahmung.
Laine,en,378,Guided contract drafting [...] Laine guides you through a structured legal dialogue [...] producing a full agreement ready for review.,zugänglich,smart,"Gefuehrter, strukturierter Prozess (bereits in Validierungsstichprobe, dort Grenzfall zugaenglich/smart)."
Laine,en,417,Documents that once took hours of research and drafting are produced in a single guided session.,schnell,,Explizite Zeitersparnis (Stunden -> eine Sitzung).
Lexplorer,de,726,"Einblicke in die Workbench, Suche und Dokumentenintelligenz.",smart,enthüllend,"'Dokumentenintelligenz' (Bernhards finaler Code aus Validierungsstichprobe), zusätzlich 'Einblicke' (enthüllend) als Nebenkandidat -- Grenzfall."
Leya,en,322,"AI brings speed, scale, and precision.",schnell,panoramisch,"'Speed' an erster Stelle, 'scale' (panoramisch) als Nebenkandidat."
Swiss-Noxtua,de,912,"Swiss-Noxtua ermöglicht schnelles, zielgerichtetes Recherchieren.",schnell,,'Schnelles' explizit.
Swiss-Noxtua,de,914,"Sekundenschnell werden präzise Antworten mit Referenzen auf relevante Gesetze, Urteile und Fachliteratur geliefert.",schnell,,'Sekundenschnell' explizit.
Swiss-Noxtua,de,924,"Das System führt diese Schritte automatisch aus, zeigt Zwischenergebnisse transparent an und erlaubt jederzeit manuelle Eingriffe.",smart,zugänglich,Automatische Ausführung; 'erlaubt jederzeit manuelle Eingriffe' -- ähnliche Rückversicherungs-Rhetorik wie Lawise (id1043) und Loetscher/AJP (Korpus 2) -- Mensch behält Eingriffsmöglichkeit.
balo.ai,de,332,"[...] Das A-Tool ermöglicht ein effizientes Anonymisieren von Dokumenten mit Hilfe von künstlicher Intelligenz - schnell, sicher und passgenau.",schnell,,"Explizit 'schnell, sicher und passgenau' (bereits in Validierungsstichprobe)."
iuslex.ch (IUS),de,21,IUS kombiniert leistungsfähige Volltextsuche und semantische Suche mit intelligenter Dokumentanalyse.,smart,,'Intelligente Dokumentanalyse' explizit.
Abacus Law / AbaLaw,de,932,Mandate smart managen.,smart,,'Smart managen' explizit im Text; KI als kompetente Instanz für Mandatsverwaltung.
Abacus Law / AbaLaw,de,938,"Rechnungssplit, automatischer Rechnungsversand sowie individuell definierbare Freigabeprozesse und ein umfassendes Mahnwesen runden die Fakturierung ab.",panoramisch,,"'Umfassendes Mahnwesen' als Vollständigkeitsversprechen, direkte Entsprechung zu 'comprehensive reminder system' im englischen Original."
Abacus Law / AbaLaw,de,945,"Ob tabellarisch, grafisch oder in übersichtlichen Dashboards – der Gestaltung sind fast keine Grenzen gesetzt.",zugänglich,,"'Uebersichtliche Dashboards' senkt Einstiegshürde, direkte Entsprechung zu 'intuitive dashboards'."
Jurata,de,970,Das all-in-one Cockpit für die Gründung und den Aufbau Ihrer Firma.,panoramisch,,'All-in-one Cockpit' als allumfassender Überblick über Gründung und Geschäftsaufbau.
Jurata,de,981,"Das Jurata® Cockpit gibt Ihnen einen Echtzeit-Überblick über alle rechtlichen, buchhalterischen und steuerlichen Aufgaben Ihres Unternehmens.",panoramisch,schnell,"'Überblick über alle' Aufgabenbereiche, direkte Entsprechung zum englischen Original."
